movie_title,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,facenumber_in_poster,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,num_voted_users
Jurassic Worldæ,124,365,1000,3000,0,150000000,2015,2000,7,2,150000,418214
Skyfallæ,143,0,393,883,0,200000000,2012,563,7.8,2.35,80000,522030
Spider-Man 2æ,135,0,4000,24000,1,200000000,2004,11000,7.3,2.35,0,411164
Iron Man 3æ,195,1000,3000,21000,3,200000000,2013,4000,7.2,2.35,95000,557489
Alice in Wonderlandæ,108,13000,11000,40000,0,200000000,2010,25000,6.5,1.85,24000,306320
X-Men: The Last Standæ,104,420,560,20000,0,210000000,2006,808,6.8,2.35,0,383427
Monsters Universityæ,104,37,760,12000,0,200000000,2013,779,7.3,1.85,44000,235025
Transformers: Revenge of the Fallenæ,150,0,464,894,0,200000000,2009,581,6,2.35,0,323207
Transformers: Age of Extinctionæ,165,0,808,974,2,210000000,2014,956,5.7,2.35,56000,242420
Oz the Great and Powerfulæ,130,0,11000,44000,4,215000000,2013,15000,6.4,2.35,60000,175409
The Amazing Spider-Man 2æ,142,464,825,15000,0,200000000,2014,10000,6.7,2.35,41000,321227
TRON: Legacyæ,125,364,1000,12000,0,170000000,2010,10000,6.8,2.35,30000,264183
Cars 2æ,106,487,776,1000,0,200000000,2011,919,6.3,2.35,10000,101178
Green Lanternæ,123,258,326,16000,2,200000000,2011,368,5.6,2.35,24000,223393
Toy Story 3æ,103,125,721,15000,3,200000000,2010,1000,8.3,1.85,30000,544884
Terminator Salvationæ,118,368,988,23000,0,200000000,2009,3000,6.6,2.35,0,286095
Furious 7æ,140,0,14000,26000,0,190000000,2015,23000,7.2,2.35,94000,278232
World War Zæ,123,395,1000,17000,0,190000000,2013,11000,7,2.35,129000,465019
X-Men: Days of Future Pastæ,149,0,20000,34000,7,200000000,2014,22000,8,2.35,82000,514125
Star Trek Into Darknessæ,132,14000,928,19000,0,190000000,2013,981,7.8,2.35,92000,395573
Jack the Giant Slayeræ,114,0,140,979,1,195000000,2013,557,6.3,2.35,22000,106416
The Great Gatsbyæ,143,1000,77,29000,4,105000000,2013,509,7.3,2.35,115000,362912
Prince of Persia: The Sands of Timeæ,116,179,236,15000,2,200000000,2010,567,6.6,2.35,23000,222403
Pacific Rimæ,131,0,919,16000,0,190000000,2013,968,7,1.85,83000,381148
Transformers: Dark of the Moonæ,154,0,581,894,2,195000000,2011,829,6.3,2.35,46000,326180
Indiana Jones and the Kingdom of the Crystal Skullæ,122,14000,1000,11000,2,185000000,2008,1000,6.2,2.35,5000,333847
The Good Dinosauræ,93,113,113,275,0,,2015,150,6.8,2.35,20000,62836
Braveæ,93,56,838,2000,0,185000000,2012,1000,7.2,2.35,39000,273556
Star Trek Beyondæ,122,681,105,998,4,185000000,2016,119,7.5,2.35,30000,53607
WALL‡Eæ,98,475,522,1000,0,180000000,2008,729,8.4,2.35,16000,718837
Rush Hour 3æ,91,420,173,268,2,140000000,2007,268,6.2,2.35,0,121084
2012æ,158,776,310,1000,0,200000000,2009,468,5.8,2.35,13000,283418
A Christmas Carolæ,96,0,10000,18000,0,200000000,2009,14000,6.8,2.35,0,72809
Jupiter Ascendingæ,127,0,13000,17000,1,176000000,2015,15000,5.4,2.35,44000,139593
The Legend of Tarzanæ,110,282,103,11000,2,180000000,2016,10000,6.6,2.35,29000,42372
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobeæ",150,80,82,1000,5,180000000,2005,190,6.9,2.35,0,286506
X-Men: Apocalypseæ,144,0,1000,34000,6,178000000,2016,13000,7.3,2.35,54000,148379
The Dark Knightæ,152,22000,11000,23000,0,185000000,2008,13000,9,2.35,37000,1676169
Upæ,96,0,262,1000,1,175000000,2009,848,8.3,1.85,27000,665575
Monsters vs. Aliensæ,94,11,459,1000,2,175000000,2009,973,6.5,2.35,0,114553
Iron Manæ,126,4000,4000,21000,3,140000000,2008,12000,7.9,2.35,10000,696338
Hugoæ,126,17000,1000,17000,0,170000000,2011,16000,7.5,1.85,42000,245333
Wild Wild Westæ,106,188,582,10000,2,170000000,1999,4000,4.8,1.85,0,129601
The Mummy: Tomb of the Dragon Emperoræ,112,357,595,5000,2,145000000,2008,3000,5.2,2.35,0,117927
Suicide Squadæ,123,452,329,10000,8,175000000,2016,336,6.9,2.35,80000,118992
Evan Almightyæ,96,293,7000,87000,0,175000000,2007,11000,5.4,2.35,2000,115099
Edge of Tomorrowæ,113,218,509,10000,1,178000000,2014,854,7.9,2.35,77000,431620
Waterworldæ,176,58,60,711,0,175000000,1995,60,6.1,1.85,0,144337
G.I. Joe: The Rise of Cobraæ,118,208,570,23000,4,175000000,2009,2000,5.8,2.35,0,174578
Inside Outæ,95,0,384,1000,1,175000000,2015,767,8.3,1.85,118000,345198
The Jungle Bookæ,106,4000,591,19000,0,175000000,2016,13000,7.8,1.85,65000,106072
Iron Man 2æ,124,4000,4000,21000,4,200000000,2010,19000,7,2.35,18000,522371
Snow White and the Huntsmanæ,132,274,11000,26000,0,170000000,2012,17000,6.1,2.35,53000,228554
Maleficentæ,97,171,846,11000,2,180000000,2014,2000,7,2.35,89000,252257
Dawn of the Planet of the Apesæ,130,198,884,10000,0,170000000,2014,2000,7.6,1.85,45000,317542
The Loversæ,109,596,283,622,3,,2015,525,4.5,,677,2138
47 Roninæ,128,47,982,18000,2,175000000,2013,1000,6.3,2.35,35000,116994
Captain America: The Winter Soldieræ,136,94,2000,19000,1,170000000,2014,11000,7.8,2.35,55000,496749
Shrek Forever Afteræ,93,31,213,4000,2,165000000,2010,225,6.4,2.35,0,138661
Tomorrowlandæ,130,663,604,2000,2,190000000,2015,638,6.5,2.2,37000,128306
Big Hero 6æ,102,38,562,756,0,165000000,2014,719,7.9,2.39,41000,279093
Wreck-It Ralphæ,101,66,833,975,1,165000000,2012,931,7.8,2.35,40000,272534
The Polar Expressæ,100,0,267,15000,0,165000000,2004,726,6.6,2.35,10000,120798
Independence Day: Resurgenceæ,120,776,535,890,0,165000000,2016,812,5.5,2.35,67000,58137
How to Train Your Dragonæ,98,255,759,18000,0,165000000,2010,953,8.2,2.35,33000,485430
Terminator 3: Rise of the Machinesæ,109,84,191,648,0,200000000,2003,284,6.4,2.35,0,305340
Guardians of the Galaxyæ,121,571,3000,14000,3,170000000,2014,14000,8.1,2.35,96000,682155
Interstellaræ,169,22000,6000,11000,1,165000000,2014,11000,8.6,2.35,349000,928227
Inceptionæ,148,22000,23000,29000,0,160000000,2010,27000,8.8,2.35,175000,1468200
Godzilla Resurgenceæ,120,28,12,544,0,,2016,106,8.2,2.35,0,374
The Hobbit: An Unexpected Journeyæ,182,0,773,5000,,180000000,2012,972,7.9,2.35,166000,637246
The Fast and the Furiousæ,106,357,4000,23000,2,38000000,2001,14000,6.7,2.35,14000,272223
The Curious Case of Benjamin Buttonæ,166,21000,919,11000,2,150000000,2008,1000,7.8,2.35,23000,459346
X-Men: First Classæ,132,905,1000,34000,3,160000000,2011,13000,7.8,2.35,54000,518537
The Hunger Games: Mockingjay - Part 2æ,137,508,14000,34000,1,160000000,2015,22000,6.6,2.35,38000,166137
The Sorcerer's Apprenticeæ,109,226,370,12000,0,150000000,2010,418,6.1,2.35,11000,124185
Poseidonæ,98,249,702,87000,0,160000000,2006,2000,5.6,2.35,0,82380
Alice Through the Looking Glassæ,113,33,11000,40000,1,170000000,2016,25000,6.4,1.85,30000,21352
Shrek the Thirdæ,93,50,692,3000,2,160000000,2007,795,6.1,1.85,0,211971
Warcraftæ,123,0,648,3000,0,160000000,2016,716,7.3,2.35,89000,111609
Terminator Genisysæ,126,230,2000,24000,2,155000000,2015,10000,6.6,2.35,82000,188457
The Chronicles of Narnia: The Voyage of the Dawn Treaderæ,113,150,59,531,4,155000000,2010,82,6.3,1.78,11000,106446
Pearl Harboræ,184,0,691,3000,0,140000000,2001,961,6.1,2.35,0,254111
Transformersæ,144,0,581,662,0,150000000,2007,599,7.1,2.35,8000,513158
Alexanderæ,206,0,591,12000,3,155000000,2004,11000,5.5,2.35,0,138863
Harry Potter and the Order of the Phoenixæ,138,282,687,21000,3,150000000,2007,11000,7.5,2.35,0,355137
Harry Potter and the Goblet of Fireæ,157,179,10000,21000,1,150000000,2005,11000,7.6,2.35,0,385670
Hancockæ,102,532,979,10000,0,150000000,2008,9000,6.4,2.35,0,343648
I Am Legendæ,104,508,558,10000,0,150000000,2007,1000,7.2,2.35,11000,530870
Charlie and the Chocolate Factoryæ,115,13000,588,40000,3,150000000,2005,16000,6.7,1.85,0,320284
Ratatouilleæ,111,663,954,1000,0,150000000,2007,1000,8,2.35,10000,473887
Batman Beginsæ,128,22000,11000,23000,0,150000000,2005,14000,8.3,2.35,15000,980946
Madagascar: Escape 2 Africaæ,89,35,436,1000,0,150000000,2008,851,6.7,1.85,0,146019
Night at the Museum: Battle of the Smithsonianæ,105,189,1000,49000,2,150000000,2009,3000,5.9,2.35,2000,130272
X-Men Origins: Wolverineæ,119,151,2000,20000,0,150000000,2009,16000,6.7,2.35,0,361924
The Matrix Revolutionsæ,129,0,233,309,0,150000000,2003,269,6.7,2.35,0,364948
Frozenæ,102,69,490,1000,0,150000000,2013,523,7.6,2.24,58000,421658
The Matrix Reloadedæ,138,0,30,234,0,150000000,2003,198,7.2,2.35,0,421818
Thor: The Dark Worldæ,112,230,12000,26000,3,170000000,2013,20000,7.1,2.35,63000,414070
Mad Max: Fury Roadæ,120,750,943,27000,0,150000000,2015,9000,8.1,2.35,191000,552503
Angels & Demonsæ,146,2000,294,15000,2,150000000,2009,745,6.7,2.35,0,207839
Thoræ,115,0,12000,26000,1,150000000,2011,20000,7,2.35,63000,536314
Boltæ,96,59,699,17000,0,150000000,2008,759,6.9,1.85,0,146766
G-Forceæ,88,12,182,730,0,150000000,2009,607,5.1,2.35,0,33042
Wrath of the Titansæ,99,473,502,14000,0,150000000,2012,897,5.8,1.85,19000,152826
Dark Shadowsæ,113,13000,16000,40000,7,100000000,2012,17000,6.2,1.85,82000,199039
Mission: Impossible - Rogue Nationæ,131,188,641,10000,0,150000000,2015,10000,7.4,2.35,47000,232187
The Wolfmanæ,119,394,162,12000,0,150000000,2010,490,5.8,1.85,0,89442
The Legend of Tarzanæ,110,282,103,11000,2,180000000,2016,10000,6.6,2.35,29000,42372
Bee Movieæ,91,58,826,2000,0,150000000,2007,852,6.2,1.85,0,105902
Kung Fu Panda 2æ,90,90,15,11000,0,150000000,2011,10000,7.3,2.35,20000,182718
The Last Airbenderæ,103,0,346,1000,0,150000000,2010,756,4.2,2.35,18000,118951
Mission: Impossible IIIæ,124,14000,979,22000,0,150000000,2006,10000,6.9,2.35,0,256695
White House Downæ,131,776,256,17000,2,150000000,2013,551,6.4,2.35,33000,164238
Mars Needs Momsæ,88,25,433,921,0,150000000,2011,562,5.4,2.35,0,17590
Flushed Awayæ,85,42,586,20000,0,149000000,2006,14000,6.7,1.85,0,85086
Panæ,111,456,394,20000,4,150000000,2015,548,5.8,2.35,24000,39956
Mr. Peabody & Shermanæ,92,50,517,3000,2,145000000,2014,1000,6.9,1.85,11000,47900
Troyæ,196,249,844,11000,2,175000000,2004,5000,7.2,2.35,0,381672
Madagascar 3: Europe's Most Wantedæ,93,35,436,851,0,145000000,2012,770,6.9,1.85,17000,119213
Die Another Dayæ,133,93,746,769,0,142000000,2002,766,6.1,2.35,0,169914
Ghostbustersæ,116,176,322,783,4,144000000,2016,370,5.5,2.35,62000,69757
Armageddonæ,153,0,537,13000,0,140000000,1998,12000,6.6,2.35,11000,322395
Men in Black IIæ,88,188,826,10000,2,140000000,2002,3000,6.1,1.85,2000,270207
Beowulfæ,115,0,964,18000,1,150000000,2007,12000,6.3,2.35,3000,142440
Kung Fu Panda 3æ,95,5,967,24000,0,145000000,2016,11000,7.2,2.35,24000,64322
Mission: Impossible - Ghost Protocolæ,133,663,690,10000,3,145000000,2011,10000,7.4,2.35,35000,365104
Rise of the Guardiansæ,97,52,161,20000,0,145000000,2012,315,7.3,1.85,25000,123553
Fun with Dick and Janeæ,90,23,233,957,1,100000000,2005,550,6.1,2.35,2000,110788
The Last Samuraiæ,154,380,445,10000,1,140000000,2003,956,7.7,2.35,0,317166
Exodus: Gods and Kingsæ,150,0,748,23000,0,140000000,2014,893,6.1,2.35,51000,128682
Star Trekæ,127,14000,981,26000,0,150000000,2009,12000,8,2.35,19000,504419
Spider-Manæ,121,0,4000,24000,0,139000000,2002,11000,7.3,1.85,5000,544665
How to Train Your Dragon 2æ,102,255,953,18000,5,145000000,2014,3000,7.9,2.35,46000,221128
Gods of Egyptæ,126,295,284,18000,4,140000000,2016,934,5.5,2.35,24000,51892
Stealthæ,121,357,653,820,0,135000000,2005,780,5,2.35,0,45455
Watchmenæ,215,0,413,986,1,130000000,2009,745,7.7,2.35,18000,392474
Lethal Weapon 4æ,127,503,91,5000,2,140000000,1998,808,6.6,2.35,0,127497
Hulkæ,138,0,258,820,0,137000000,2003,300,5.7,1.85,0,212106
G.I. Joe: Retaliationæ,122,209,934,17000,6,130000000,2013,12000,5.8,2.35,42000,146352
Saharaæ,124,42,848,11000,3,130000000,2005,973,6,2.35,0,77673
Final Fantasy: The Spirits Withinæ,106,6,422,12000,1,137000000,2001,2000,6.4,1.85,0,72259
Captain America: The First Avengeræ,124,394,2000,11000,0,140000000,2011,3000,6.9,2.35,46000,508818
The World Is Not Enoughæ,128,150,244,766,2,135000000,1999,536,6.4,2.35,2000,157519
Master and Commander: The Far Side of the Worldæ,138,608,168,613,1,150000000,2003,172,7.4,2.35,0,168207
The Twilight Saga: Breaking Dawn - Part 2æ,115,386,12000,21000,3,120000000,2012,17000,5.5,2.35,65000,185394
Happy Feet 2æ,100,750,988,49000,0,135000000,2011,11000,5.9,2.35,0,32399
The Incredible Hulkæ,135,255,882,3000,0,150000000,2008,1000,6.8,2.35,0,326286
Miami Viceæ            ,60,,184,982,2,1500000,,321,7.5,1.33,0,16769
The BFGæ,117,14000,358,535,0,140000000,2016,400,6.8,2.35,27000,12572
The Revenantæ,156,0,733,29000,0,135000000,2015,27000,8.1,2.35,190000,406020
Turboæ,96,13,463,16000,0,135000000,2013,881,6.5,2.35,13000,62424
Rangoæ,107,563,939,40000,0,135000000,2011,1000,7.2,2.35,26000,183208
Penguins of Madagascaræ,92,35,179,19000,0,132000000,2014,411,6.7,1.85,11000,60230
The Bourne Ultimatumæ,115,521,883,13000,0,110000000,2007,897,8.1,2.35,0,491077
Kung Fu Pandaæ,92,54,562,11000,0,130000000,2008,967,7.6,2.35,6000,307029
Ant-Manæ,117,235,680,2000,6,130000000,2015,2000,7.4,1.85,61000,313866
The Hunger Games: Catching Fireæ,146,508,523,34000,1,130000000,2013,14000,7.6,2.35,82000,498397
The Twilight Saga: Breaking Dawn - Part 2æ,115,386,12000,21000,3,120000000,2012,17000,5.5,2.35,65000,185394
Homeæ,94,12,183,17000,0,135000000,2015,523,6.7,1.85,26000,70121
War of the Worldsæ,116,14000,807,10000,0,132000000,2005,1000,6.5,1.85,0,334345
Bad Boys IIæ,147,0,877,10000,1,130000000,2003,898,6.6,2.35,0,178126
Puss in Bootsæ,90,50,397,4000,0,130000000,2011,442,6.7,2.35,16000,114287
Saltæ,101,176,282,11000,1,110000000,2010,702,6.4,2.35,23000,245621
Noahæ,138,0,8000,12000,2,125000000,2014,9000,5.8,1.85,71000,200022
The Adventures of Tintinæ,107,14000,845,2000,1,135000000,2011,871,7.4,2.35,44000,177383
Harry Potter and the Prisoner of Azkabanæ,142,0,10000,11000,3,130000000,2004,10000,7.8,2.35,11000,382255
Australiaæ,165,1000,165,309,0,130000000,2008,284,6.6,2.35,0,102338
After Earthæ,100,0,894,10000,0,130000000,2013,943,4.9,2.35,37000,158720
Dinosauræ,82,0,388,1000,1,127500000,2000,558,6.5,1.85,0,38438
Harry Potter and the Deathly Hallows: Part IIæ,,0,159,10000,1,,2011,570,7.5,,40,381
Night at the Museum: Secret of the Tombæ,98,189,1000,49000,7,127000000,2014,3000,6.2,1.85,11000,67223
Megamindæ,95,96,8000,24000,3,130000000,2010,11000,7.3,2.35,13000,172754
Harry Potter and the Sorcerer's Stoneæ,159,0,645,11000,4,125000000,2001,687,7.5,2.35,16000,444683
R.I.P.D.æ,96,124,1000,16000,2,130000000,2013,12000,5.6,2.35,20000,91640
Godzilla Resurgenceæ,120,28,12,544,0,,2016,106,8.2,2.35,0,374
Pirates of the Caribbean: The Curse of the Black Pearlæ,143,563,1000,40000,3,140000000,2003,5000,8.1,2.35,10000,809474
Harry Potter and the Deathly Hallows: Part Iæ,,0,1000,10000,1,,2010,2000,6.4,,25,252
The Hunger Games: Mockingjay - Part 1æ,123,508,14000,34000,1,125000000,2014,22000,6.7,2.35,52000,305008
The Da Vinci Codeæ,174,2000,362,15000,2,125000000,2006,574,6.6,2.35,0,314253
Rio 2æ,101,107,56,688,0,103000000,2014,237,6.4,2.35,0,58498
X-Men 2æ,134,0,346,20000,4,110000000,2003,505,7.5,2.35,0,405973
Fast Fiveæ,132,681,12000,23000,3,125000000,2011,14000,7.3,2.35,54000,284792
Sherlock Holmes: A Game of Shadowsæ,129,0,154,21000,2,125000000,2011,979,7.5,2.35,39000,338635
Clash of the Titansæ,106,255,850,14000,0,125000000,2010,1000,5.8,2.35,15000,229679
Total Recallæ,113,719,217,605,0,65000000,1990,308,7.5,1.85,0,240241
The 13th Warrioræ,102,323,241,845,1,85000000,1999,372,6.6,2.35,0,101411
The Bourne Legacyæ,135,209,602,10000,0,125000000,2012,826,6.7,2.35,31000,229823
Batman & Robinæ,125,541,409,920,3,125000000,1997,890,3.7,1.85,0,189855
How the Grinch Stole Christmasæ,110,2000,636,1000,0,123000000,2000,722,6,1.85,0,141414
The Day After Tomorrowæ,124,776,812,15000,0,125000000,2004,2000,6.4,2.35,19000,333248
Mission: Impossible IIæ,123,610,653,10000,0,125000000,2000,794,6.1,2.35,0,242188
The Perfect Stormæ,130,249,461,784,0,140000000,2000,638,6.4,2.35,0,133076
Fantastic 4: Rise of the Silver Surferæ,92,167,702,11000,3,130000000,2007,2000,5.6,2.35,0,213275
Life of Piæ,127,0,341,774,0,120000000,2012,358,8,1.85,122000,440084
Ghost Rideræ,123,160,402,12000,1,110000000,2007,701,5.2,2.35,0,182661
Jason Bourneæ,123,521,265,13000,0,120000000,2016,365,7.1,2.35,31000,40123
Charlie's Angels: Full Throttleæ,107,368,1000,2000,0,120000000,2003,1000,4.8,2.35,0,100821
Prometheusæ,124,0,641,13000,0,130000000,2012,9000,7,2.35,97000,456260
Stuart Little 2æ,77,50,537,886,0,120000000,2002,799,5.4,1.85,459,36471
Elysiumæ,109,662,1000,13000,0,115000000,2013,2000,6.6,2.35,61000,338087
The Chronicles of Riddickæ,134,123,567,14000,0,105000000,2004,850,6.7,2.35,0,183909
RoboCopæ,117,294,1000,10000,0,100000000,2014,2000,6.2,2.35,60000,182899
Speed Raceræ,135,0,87,690,0,120000000,2008,107,6.1,2.35,0,57873
How Do You Knowæ,121,274,157,273,4,120000000,2010,216,5.3,1.85,0,35066
Knight and Dayæ,117,446,877,10000,0,117000000,2010,973,6.3,2.35,11000,148280
Oblivionæ,124,364,1000,11000,0,120000000,2013,10000,7,2.35,71000,387436
Star Wars: Episode III - Revenge of the Sithæ,140,0,4000,20000,4,113000000,2005,16000,7.6,2.35,10000,520104
Star Wars: Episode II - Attack of the Clonesæ,142,0,4000,20000,3,115000000,2002,16000,6.7,1.78,0,464310
"Monsters, Inc.æ",92,0,773,12000,0,115000000,2001,1000,8.1,1.85,0,585659
The Wolverineæ,138,446,929,20000,1,120000000,2013,992,6.7,2.35,68000,328067
Star Wars: Episode I - The Phantom Menaceæ,136,0,1000,20000,1,115000000,1999,14000,6.5,2.35,13000,534658
The Croodsæ,98,16,12000,16000,3,135000000,2013,15000,7.3,2.35,28000,150618
Asterix at the Olympic Gamesæ,116,0,141,936,1,78000000,2008,276,5.1,2.35,291,20567
Windtalkersæ,153,610,617,12000,0,115000000,2002,836,6,2.35,0,55994
The Huntsman: Winter's Waræ,120,19,9000,26000,2,115000000,2016,11000,6.1,2.35,16000,37750
Teenage Mutant Ninja Turtlesæ,101,473,429,833,0,125000000,2014,809,5.9,2.35,62000,167085
Gravityæ,91,0,13,39,0,100000000,2013,23,7.8,2.35,147000,582917
Dante's Peakæ,108,79,268,650,1,116000000,1997,293,5.8,2.35,0,62271
Teenage Mutant Ninja Turtles: Out of the Shadowsæ,112,13,799,5000,,135000000,2016,833,6.3,2.35,12000,17533
Fantastic Fouræ,100,128,78,596,3,120000000,2015,360,4.3,2.35,41000,110486
Night at the Museumæ,108,189,1000,49000,2,110000000,2006,3000,6.4,1.85,3000,234480
San Andreasæ,114,62,884,12000,0,110000000,2015,2000,6.1,2.35,52000,147497
Tomorrow Never Diesæ,119,55,387,811,3,110000000,1997,766,6.5,2.35,0,149680
The Patriotæ,142,776,1000,13000,1,110000000,2000,2000,7.1,2.35,4000,207613
Ocean's Twelveæ,125,0,350,11000,0,110000000,2004,8000,6.4,2.35,0,284852
Mr. & Mrs. Smithæ,126,218,322,11000,2,120000000,2005,11000,6.5,2.35,0,348861
Insurgentæ,119,124,1000,14000,0,110000000,2015,5000,6.3,2.35,27000,154621
The Aviatoræ,170,17000,827,29000,0,110000000,2004,3000,7.5,2.35,0,264318
Gulliver's Travelsæ,85,11,116,480,1,112000000,2010,392,4.9,2.35,0,53160
The Green Hornetæ,119,1000,741,11000,0,120000000,2011,1000,5.8,2.35,14000,136019
The A-Teamæ            ,60,,432,669,4,,,554,7.6,4,0,25402
300: Rise of an Empireæ,102,263,1000,6000,0,110000000,2014,1000,6.2,2.35,71000,225273
The Smurfsæ,103,67,111,383,3,110000000,2011,113,5.5,1.78,31000,66593
Home on the Rangeæ,76,6,421,12000,0,110000000,2004,513,5.4,1.78,304,13581
Allegiantæ,120,124,943,6000,3,110000000,2016,5000,5.8,2.35,12000,44296
Real Steelæ,127,189,544,20000,1,110000000,2011,929,7.1,2.35,36000,254841
The Smurfs 2æ,105,67,40,681,3,105000000,2013,71,5.4,1.85,0,27257
Speed 2: Cruise Controlæ,121,101,202,673,0,160000000,1997,368,3.7,2.35,894,60573
Ender's Gameæ,114,151,430,11000,4,110000000,2013,635,6.7,2.35,123000,184561
Live Free or Die Hardæ,129,235,297,13000,1,110000000,2007,300,7.2,2.35,0,336235
The Lord of the Rings: The Fellowship of the Ringæ,171,0,857,16000,2,93000000,2001,5000,8.8,2.35,21000,1238746
Around the World in 80 Daysæ,120,153,447,1000,0,110000000,2004,1000,5.8,2.35,0,68720
Aliæ,165,0,780,10000,1,107000000,2001,851,6.8,2.35,0,79186
The Cat in the Hatæ,82,34,434,760,1,109000000,2003,743,3.8,1.85,946,36033
"I, Robotæ",115,295,466,10000,1,120000000,2004,981,7.1,2.35,0,387632
Kingdom of Heavenæ,194,0,195,14000,1,130000000,2005,5000,7.2,2.35,0,217373
Stuart Littleæ,84,50,692,979,0,133000000,1999,886,5.9,1.85,0,94172
The Princess and the Frogæ,97,63,525,852,0,105000000,2009,578,7.1,1.85,5000,89351
The Martianæ,151,0,372,13000,1,108000000,2015,801,8.1,2.35,153000,472488
"10,000 B.C.æ            ",22,0,,5,0,,,,7.2,,0,6
The Islandæ,136,0,3000,19000,1,126000000,2005,12000,6.9,2.35,0,263329
Town & Countryæ,104,23,591,752,0,90000000,2001,631,4.4,1.85,53,4102
Gone in Sixty Secondsæ,127,57,3000,12000,1,90000000,2000,11000,6.5,2.35,0,218341
Gladiatoræ,171,0,695,3000,0,103000000,2000,933,8.5,2.35,21000,982637
Minority Reportæ,145,14000,533,10000,0,102000000,2002,798,7.7,2.35,0,399651
Harry Potter and the Chamber of Secretsæ,174,0,9000,11000,1,100000000,2002,10000,7.4,2.35,0,387616
Casino Royaleæ,144,258,834,6000,1,150000000,2006,1000,8,2.35,0,470483
Planet of the Apesæ,119,13000,567,1000,0,100000000,2001,658,5.7,2.35,0,177725
Terminator 2: Judgment Dayæ,153,0,539,780,0,102000000,1991,604,8.5,2.35,13000,744891
Public Enemiesæ,140,0,1000,40000,1,100000000,2009,23000,7,2.35,0,230931
American Gangsteræ,176,0,561,18000,0,100000000,2007,782,7.8,1.85,0,324671
True Liesæ,141,0,618,2000,0,115000000,1994,1000,7.2,2.35,0,190439
The Taking of Pelham 1 2 3æ,106,12000,385,18000,1,100000000,2009,464,6.4,2.35,0,149998
Little Fockersæ,98,80,708,22000,10,100000000,2010,713,5.5,1.85,0,85531
The Other Guysæ,116,285,107,12000,2,100000000,2010,8000,6.7,2.35,16000,189806
Eraseræ,115,55,383,1000,1,100000000,1996,773,6.1,2.35,0,84424
Django Unchainedæ,165,16000,265,29000,1,100000000,2012,11000,8.5,2.35,199000,955174
